Version 1 — Module Opérationnel (priorité absolue),,,,,,,,,,,,,
"Périmètre : Pharmacies, Contacts, Candidats, Missions, Offres d'emploi, Matching IA, Candidatures site et Assistant IA. C'est la version qui permet de travailler au quotidien. Contenu issu du document LOGICIEL_MEDIJOB et du brief candidats.",,,,,,,,,,,,,
ID,Module,Pôle CRM,Élément de dev,Fonctionnalité,Description,Type,Priorité,Complexité,Charge (j),Dépendances,Responsable,Statut,Commentaires
V1-001,0. Socle & Transverse,Socle & Sécurité,Authentification,Connexion sécurisée,"Connexion email + mot de passe, réinitialisation, session persistante, déconnexion automatique.",Écran,P1,M,2,,,À faire,
V1-002,0. Socle & Transverse,Socle & Sécurité,Gestion des rôles,Rôles et permissions,Rôles Direction / Recruteur / Communication / RH-Admin avec droits différenciés par module.,Règle métier,P1,M,3,,,À faire,
V1-003,0. Socle & Transverse,Socle & Sécurité,Navigation,Menu latéral + recherche globale,"Navigation fixe vers les 4 modules, recherche multi-entités (pharmacie, contact, candidat, mission).",Écran,P1,M,3,,,À faire,
V1-004,0. Socle & Transverse,Socle & Sécurité,Charte graphique,Identité visuelle Medijob,"Palette teal #0C2F37, mint #5AE2A1, sky #73C6EF, rose #FE7CCA. Logo, typographie, composants réutilisables.",Design,P1,S,1,,,À faire,
V1-005,0. Socle & Transverse,Socle & Sécurité,Modèle de données,Schéma de base,"Tables pharmacies, contacts, candidats, missions, offres, candidatures, affectations, documents, activités.",Technique,P1,L,4,,,À faire,
V1-006,0. Socle & Transverse,Socle & Sécurité,Recruteur référent,Attribution d'un référent,"Champ « recruteur référent » sur pharmacie, contact, candidat et mission, filtrable partout.",Règle métier,P1,S,1,,,À faire,
V1-007,0. Socle & Transverse,Socle & Sécurité,Vue rapide,Panneau de vue rapide générique,"Composant latéral affichant l'essentiel d'une fiche sans quitter la liste, réutilisé sur toutes les listes.",Fonction,P1,M,3,,,À faire,
V1-008,0. Socle & Transverse,Socle & Sécurité,Journal d'activité,Historique horodaté,"Traçabilité automatique des créations et modifications par utilisateur, alimentant les blocs Historique.",Règle métier,P1,M,3,,,À faire,
V1-009,0. Socle & Transverse,Socle & Sécurité,Documents,Gestion documentaire générique,"Upload, aperçu, téléchargement et suppression de documents rattachés à toute entité.",Fonction,P1,M,3,,,À faire,
V1-010,0. Socle & Transverse,Socle & Sécurité,RGPD,Conformité données personnelles,"Consentement, durée de conservation, droit à l'effacement, registre des traitements.",Règle métier,P1,M,3,,,À faire,
V1-011,1. Opérationnel,Pharmacies,Liste pharmacies,Colonnes de la vue liste,"Affichage : nom, ville, code postal, statut, groupement, date d'ajout, recruteur référent, bouton vue rapide.",Écran,P1,M,3,,,À faire,
V1-012,1. Opérationnel,Pharmacies,Liste pharmacies,Filtres et recherche,"Filtres cumulables : ville, département, région, statut, groupement, logiciel, recruteur référent.",Fonction,P1,M,3,,,À faire,
V1-013,1. Opérationnel,Pharmacies,Liste pharmacies,Vue rapide pharmacie,"Aperçu latéral : coordonnées, contacts principaux, besoins en cours, dernière action.",Fonction,P1,M,2,,,À faire,
V1-014,1. Opérationnel,Pharmacies,Création,Préremplissage via SIRENE,"Recherche par nom ou SIRET dans la base SIRENE/INSEE et préremplissage automatique : nom, SIRET, adresse, ville, code postal.",Intégration,P1,L,4,,,À faire,
V1-015,1. Opérationnel,Pharmacies,Fiche pharmacie,Champs complémentaires,"Saisie manuelle : téléphone, email, logiciel utilisé (LGO), groupement, titulaire principal, notes internes.",Champ,P1,S,2,,,À faire,
V1-016,1. Opérationnel,Pharmacies,Fiche pharmacie,Statut de la pharmacie,Client / Prospect / Inactif — modifiable et utilisé comme filtre dans toutes les vues.,Règle métier,P1,S,1,,,À faire,
V1-017,1. Opérationnel,Pharmacies,Fiche pharmacie,Bloc Contacts,"Liste des contacts rattachés : titulaire, pharmacien adjoint, préparateur référent, responsable RH, autres.",Écran,P1,M,3,,,À faire,
V1-018,1. Opérationnel,Pharmacies,Fiche pharmacie,Bloc Historique,"Missions d'intérim réalisées, recrutements CDI et CDD, entretiens, appels, actions commerciales, notes et commentaires.",Écran,P1,L,4,,,À faire,
V1-019,1. Opérationnel,Pharmacies,Fiche pharmacie,Bloc Documents,"Contrats, devis, factures, conventions et tout document lié à la pharmacie.",Fonction,P1,M,3,,,À faire,
V1-020,1. Opérationnel,Pharmacies,Fiche pharmacie,Bloc Besoins en cours,"Recrutements ouverts par type (CDI, CDD, Intérim) avec statut : à pourvoir, en recherche, candidats présentés, entretien en cours, pourvu.",Écran,P1,L,4,,,À faire,
V1-021,1. Opérationnel,Pharmacies,Import,Import CSV / Excel,"Mapping des colonnes, contrôle de format, détection et fusion des doublons.",Fonction,P1,L,4,,,À faire,
V1-022,1. Opérationnel,Contacts,Liste contacts,Colonnes de la vue liste,"Affichage : nom, prénom, fonction, pharmacie rattachée, téléphone, email, date d'ajout, bouton vue rapide.",Écran,P1,M,3,,,À faire,
V1-023,1. Opérationnel,Contacts,Liste contacts,Filtres et recherche,"Filtres : fonction, pharmacie, ville, département, recruteur référent.",Fonction,P1,S,2,,,À faire,
V1-024,1. Opérationnel,Contacts,Fiche contact,Champs de la fiche,"Nom, prénom, fonction, téléphone, email, date de création, pharmacie rattachée.",Champ,P1,S,2,,,À faire,
V1-025,1. Opérationnel,Contacts,Fiche contact,Rattachement obligatoire,Un contact ne peut exister sans pharmacie ; contrôle bloquant à la création et liaison bidirectionnelle avec la fiche pharmacie.,Règle métier,P1,M,3,,,À faire,
V1-026,1. Opérationnel,Contacts,Fiche contact,Référentiel des fonctions,"Liste paramétrable : titulaire, pharmacien adjoint, préparateur référent, responsable RH, comptabilité, autre.",Règle métier,P1,S,1,,,À faire,
V1-027,1. Opérationnel,Contacts,Fiche contact,Bloc Historique,"Appels, emails, notes, actions commerciales, demandes effectuées, historique des recrutements liés.",Écran,P1,M,3,,,À faire,
V1-028,1. Opérationnel,Contacts,Fiche contact,Bloc Documents,Documents éventuels rattachés au contact.,Fonction,P2,S,1,,,À faire,
V1-029,1. Opérationnel,Candidats,Liste candidats,Colonnes de la vue liste,"Affichage : nom, métier, ville, département, date d'ajout, recruteur référent, bouton vue rapide.",Écran,P1,M,3,,,À faire,
V1-030,1. Opérationnel,Candidats,Liste candidats,Filtres et recherche,"Filtres : métier, ville, département, disponibilité, logiciels maîtrisés, mobilité, statut.",Fonction,P1,M,3,,,À faire,
